"Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate","Nombre_U","Direccion_Busqueda","latitude","longitude"
"Yes",2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88,"Assumption College","Assumption College, USA",42.290343,-71.829377
"No",7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,"Auburn University-Main Campus","Auburn University-Main Campus, USA",33.967481730877,-83.817776468985
"Yes",662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58,"Augsburg College","Augsburg College, USA",44.966929,-93.240469
"Yes",1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71,"Augustana College IL","Augustana College IL, USA",41.502334,-90.550193
"Yes",761,725,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69,"Augustana College","Augustana College, USA",41.502334,-90.550193
"Yes",948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13,33,11361,71,"Austin College","Austin College, USA",33.648113,-96.596675
"Yes",627,556,172,16,40,777,538,9925,4135,750,1350,59,67,22.4,11,6523,48,"Averett College","Averett College, USA",38.510159,-77.307372
"Yes",602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65,"Baker University","Baker University, USA",38.776793,-95.18866
"Yes",1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85,"Baldwin-Wallace College","Baldwin-Wallace College, USA",41.369765,-81.844827
"Yes",261,192,111,15,36,453,266,9690,4300,500,500,57,77,9.7,35,9337,71,"Barat College","Barat College, USA",41.7969,-87.586
"Yes",1910,838,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79,"Bard College","Bard College, USA",42.0228167,-73.9093672
"Yes",2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,"Barnard College","Barnard College, USA",40.809519,-73.963551
"Yes",990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,"Barry University","Barry University, USA",25.8809134,-80.1938164
"Yes",6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,"Baylor University","Baylor University, USA",31.550785,-97.1128543
"Yes",1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,8954,73,"Beaver College","Beaver College, USA",40.0915,-75.16323
"Yes",807,707,308,39,63,1198,605,8840,2950,750,1290,74,82,13.1,31,6668,84,"Bellarmine College","Bellarmine College, USA",41.16065,-73.25761
"Yes",632,494,129,17,36,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52,"Belmont Abbey College","Belmont Abbey College, USA",35.261812,-81.041414
"Yes",1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,"Belmont University","Belmont University, USA",36.133675,-86.794659
"Yes",1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69,"Beloit College","Beloit College, USA",42.503309,-89.029962
"No",1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46,"Bemidji State University","Bemidji State University, USA",47.483049,-94.875016
"Yes",632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,"Benedictine College","Benedictine College, USA",39.577011,-95.1133739
"Yes",519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,"Bennington College","Bennington College, USA",42.919284,-73.23771
"Yes",3466,2330,640,20,60,3095,1533,13800,5510,630,850,87,87,17.5,20,10941,82,"Bentley College","Bentley College, USA",42.3765149,-71.2353511
"Yes",1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,"Berry College","Berry College, USA",34.2910438,-85.1877664
"Yes",878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48,"Bethany College","Bethany College, USA",30.381,-91.0611
"Yes",202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56,"Bethel College KS","Bethel College KS, USA",38.074889,-97.341203
"Yes",502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,35,"Bethel College","Bethel College, USA",41.678345,-86.194583
"Yes",1646,1150,542,12,30,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58,"Bethune Cookman College","Bethune Cookman College, USA",29.212167,-81.032291
"Yes",805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14,34,8649,72,"Birmingham-Southern College","Birmingham-Southern College, USA",33.513774,-86.850552
"Yes",500,336,156,25,55,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51,"Blackburn College","Blackburn College, USA",39.2879028,-89.871582
"No",6773,3028,1025,15,55,5847,946,7844,2948,500,1680,66,68,18,19,7041,75,"Bloomsburg Univ. of Pennsylvania","Bloomsburg Univ. of Pennsylvania, USA",41.0051913,-76.450296
"Yes",377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53,"Bluefield College","Bluefield College, USA",37.242357,-81.249868
"Yes",692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58,"Bluffton College","Bluffton College, USA",40.8942821,-83.8964269
"Yes",20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,"Boston University","Boston University, USA",42.3493197,-71.1104198
"Yes",3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96,"Bowdoin College","Bowdoin College, USA",43.9070809,-69.9639448
"No",9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,"Bowling Green State University","Bowling Green State University, USA",41.3760179,-83.6236541
"Yes",443,330,151,5,36,453,42,14080,6270,500,900,57,80,10.2,21,15387,46,"Bradford College","Bradford College, USA",42.7651175,-71.0793095
"Yes",3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,"Bradley University","Bradley University, USA",40.6977896,-89.6143441
"Yes",4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84,"Brandeis University","Brandeis University, USA",42.366279,-71.25782
"Yes",367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49,"Brenau University","Brenau University, USA",34.302327,-83.821367
"Yes",1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18,"Brewton-Parker College","Brewton-Parker College, USA",32.1859465,-82.5840524
"Yes",392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58,"Briar Cliff College","Briar Cliff College, USA",42.52699,-96.42713
"Yes",838,673,292,22,53,881,55,10265,4725,560,875,68,73,13.2,24,8655,82,"Bridgewater College","Bridgewater College, USA",38.3789187,-78.9707391
"Yes",7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33,"Brigham Young University at Provo","Brigham Young University at Provo, USA",40.2484754,-111.6472026
"Yes",12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,"Brown University","Brown University, USA",41.8239225,-71.406949
"Yes",1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89,"Bryn Mawr College","Bryn Mawr College, USA",40.0255296,-75.3132983
"Yes",6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93,"Bucknell University","Bucknell University, USA",40.9547056,-76.8900569
"Yes",860,688,285,32,70,1928,442,13306,3797,450,950,62,69,8.8,10,6333,78,"Buena Vista College","Buena Vista College, USA",42.64217,-95.20849
"Yes",2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83,"Butler University","Butler University, USA",39.836334,-86.168626
"Yes",599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71,"Cabrini College","Cabrini College, USA",40.054835,-75.368577
"Yes",1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55,"Caldwell College","Caldwell College, USA",40.8341326,-74.2685007
"Yes",563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60,"California Lutheran University","California Lutheran University, USA",34.224679,-118.87811
"No",7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59,"California Polytechnic-San Luis","California Polytechnic-San Luis, USA",35.30059,-120.66004
"No",4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61,"California State University at Fresno","California State University at Fresno, USA",36.8073,-119.7367
"Yes",1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81,"Calvin College","Calvin College, USA",42.932142858144,-85.589016908418
"Yes",2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63,"Campbell University","Campbell University, USA",35.408392,-78.739414
"Yes",848,587,298,25,55,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49,"Campbellsville College","Campbellsville College, USA",37.3434,-85.35219
"Yes",2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64,"Canisius College","Canisius College, USA",42.925453,-78.852426
"Yes",1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83,"Capital University","Capital University, USA",39.956349,-82.940913
"Yes",100,90,35,10,52,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52,"Capitol College","Capitol College, USA",39.047555,-76.851325
"Yes",2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,"Carleton College","Carleton College, USA",44.4620196,-93.1559801
"Yes",8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74,"Carnegie Mellon University","Carnegie Mellon University, USA",40.443777,-79.943679
"Yes",1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,"Carroll College","Carroll College, USA",46.6009216,-112.0386845
"Yes",1096,951,464,27,62,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67,"Carson-Newman College","Carson-Newman College, USA",36.122558,-83.490877
"Yes",1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62,"Carthage College","Carthage College, USA",42.622276,-87.82112
"Yes",3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,"Case Western Reserve University","Case Western Reserve University, USA",41.5043335,-81.6042951
"No",1257,940,363,9,22,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79,"Castleton State College","Castleton State College, USA",43.6099804,-72.982513
"Yes",1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,"Catawba College","Catawba College, USA",35.6915919,-80.4859242
"Yes",1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75,"Catholic University of America","Catholic University of America, USA",38.9373339,-76.9966192
"Yes",3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118,"Cazenovia College","Cazenovia College, USA",42.935701,-75.853213
"Yes",776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74,"Cedar Crest College","Cedar Crest College, USA",40.58666,-75.520218
"Yes",1307,1090,616,25,55,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64,"Cedarville College","Cedarville College, USA",39.747,-83.81076
"Yes",369,312,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,9583,24,"Centenary College","Centenary College, USA",32.483432,-93.731944
"Yes",495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66,"Centenary College of Louisiana","Centenary College of Louisiana, USA",32.483,-93.73152
"Yes",601,396,203,1,20,525,323,11230,6643,2340,620,8,58,6.8,4,13025,47,"Center for Creative Studies","Center for Creative Studies, USA",42.3609,-83.0642
"Yes",1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,"Central College","Central College, USA",41.401487,-92.920992
"No",4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,"Central Connecticut State University","Central Connecticut State University, USA",41.690133,-72.76844
"No",4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69,80,19.7,4,5501,50,"Central Missouri State University","Central Missouri State University, USA",38.7578895,-93.7407768
"No",2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51,"Central Washington University","Central Washington University, USA",47.2566119,-122.4546289
"Yes",174,146,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58,"Central Wesleyan College","Central Wesleyan College, USA",38.81227,-91.1407
"Yes",1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74,"Centre College","Centre College, USA",37.6465286,-84.7776163
"Yes",959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47,"Chapman University","Chapman University, USA",33.620596,-117.871924
"Yes",212,197,91,28,56,471,148,13500,5230,400,850,95,98,9.3,37,16095,52,"Chatham College","Chatham College, USA",40.44924,-79.92561
"Yes",342,254,126,25,64,518,232,10335,5015,700,850,71,71,8.3,29,7729,73,"Chestnut Hill College","Chestnut Hill College, USA",40.086224,-75.229041
"Yes",81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58,"Christendom College","Christendom College, USA",38.9524459,-78.146797
"Yes",880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63,"Christian Brothers University","Christian Brothers University, USA",35.1278959,-89.9812535
"No",883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,"Christopher Newport University","Christopher Newport University, USA",37.062543,-76.494299
"Yes",1196,697,499,21,47,959,13,4412,2460,500,1000,69,69,16.9,31,7083,21,"Claflin College","Claflin College, USA",33.4893989,-80.8647699
"Yes",1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87,"Claremont McKenna College","Claremont McKenna College, USA",34.102041,-117.706553
"Yes",2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,"Clark University","Clark University, USA",42.250977,-71.823169
"Yes",460,340,167,14,45,604,350,10740,3676,350,900,67,71,11,27,7963,74,"Clarke College","Clarke College, USA",42.50977,-90.69016
"Yes",2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,"Clarkson University","Clarkson University, USA",44.6681,-74.9805
"No",8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18,17,7597,73,"Clemson University","Clemson University, USA",34.6749667,-82.8343024
"No",689,561,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46,"Clinch Valley Coll. of  the Univ. of Virginia","Clinch Valley Coll. of  the Univ. of Virginia, USA",36.97156,-82.55971
"Yes",1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,"Coe College","Coe College, USA",41.9881794,-91.6581377
"Yes",604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75,"Coker College","Coker College, USA",34.3768243,-80.0625522
"Yes",2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91,"Colby College","Colby College, USA",44.5639632,-69.6621238
"Yes",4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93,"Colgate University","Colgate University, USA",42.818413,-75.533411
"Yes",1432,888,317,29,58,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96,"College Misericordia","College Misericordia, USA",41.344525,-75.969815
"No",4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,"College of Charleston","College of Charleston, USA",32.784567,-79.936472
"Yes",798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100,"College of Mount St. Joseph","College of Mount St. Joseph, USA",39.095854,-84.639073
"Yes",946,648,177,23,46,707,432,11790,5770,500,1000,75,77,11.9,35,10015,83,"College of Mount St. Vincent","College of Mount St. Vincent, USA",40.913657,-73.908887
"Yes",344,264,97,11,42,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43,"College of Notre Dame","College of Notre Dame, USA",37.51752503283,-122.285701692173
"Yes",457,356,177,35,61,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75,"College of Notre Dame of Maryland","College of Notre Dame of Maryland, USA",39.350851,-76.620134
"Yes",938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72,"College of Saint Benedict","College of Saint Benedict, USA",45.56111,-94.32056
"Yes",511,411,186,23,51,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77,"College of Saint Catherine","College of Saint Catherine, USA",44.92448,-93.18304
"Yes",444,359,122,34,53,493,968,10900,5250,380,1000,68,70,11.4,23,9447,78,"College of Saint Elizabeth","College of Saint Elizabeth, USA",40.779586,-74.439065
"Yes",983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64,"College of Saint Rose","College of Saint Rose, USA",42.654986,-73.763497
"Yes",546,447,189,16,42,873,683,11138,4138,600,1200,40,74,14,7,8820,80,"College of Santa Fe","College of Santa Fe, USA",35.658004,-105.977893
"Yes",141,118,55,12,21,201,173,8300,4850,450,1300,53,53,9.5,19,6936,76,"College of St. Joseph","College of St. Joseph, USA",43.6006244,-73.0008479
"Yes",672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72,"College of St. Scholastica","College of St. Scholastica, USA",46.8152734,-92.1053026
"Yes",2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,"College of the Holy Cross","College of the Holy Cross, USA",42.238806,-71.80755
"No",7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93,"College of William and Mary","College of William and Mary, USA",37.272631,-76.706184
"Yes",2100,1883,553,29,65,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69,"College of Wooster","College of Wooster, USA",40.811701,-81.93553
"Yes",3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,"Colorado College","Colorado College, USA",38.848049,-104.822725
"No",9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59,"Colorado State University","Colorado State University, USA",40.5749183,-105.0798277
"Yes",314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37,"Columbia College MO","Columbia College MO, USA",37.7574018,-92.1172974
"Yes",737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76,"Columbia College","Columbia College, USA",34.180101,-118.334899
"Yes",6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99,"Columbia University","Columbia University, USA",40.808286,-73.961885
"Yes",281,266,139,13,29,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45,"Concordia College at St. Paul","Concordia College at St. Paul, USA",44.94993,-93.15476
"Yes",232,216,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42,"Concordia Lutheran College","Concordia Lutheran College, USA",30.2917541,-97.7226841
"Yes",688,497,144,30,75,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55,"Concordia University CA","Concordia University CA, USA",33.655942,-117.769458
"Yes",528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75,"Concordia University","Concordia University, USA",33.655942,-117.769458
"Yes",3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,"Connecticut College","Connecticut College, USA",41.3770535,-72.1078974
"Yes",440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75,"Converse College","Converse College, USA",34.955526,-81.917435
"Yes",1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64,"Cornell College","Cornell College, USA",41.9260864,-91.4287109
"Yes",2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,"Creighton University","Creighton University, USA",41.265482,-95.949236
"Yes",1576,1110,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51,"Culver-Stockton College","Culver-Stockton College, USA",40.1288229,-91.5316408
"Yes",995,789,398,26,47,1306,122,6230,3526,400,600,42,44,13,4,8189,63,"Cumberland College","Cumberland College, USA",36.73842,-84.16188
"Yes",866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46,"D'Youville College","D'Youville College, USA",42.90262,-78.891
"Yes",504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54,"Dana College","Dana College, USA",41.55195,-96.15583
"Yes",585,508,153,12,30,460,536,12292,4934,500,500,61,61,22.2,10,8643,72,"Daniel Webster College","Daniel Webster College, USA",42.7772064,-71.5139004
"Yes",8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98,"Dartmouth College","Dartmouth College, USA",43.700788,-72.285147
"Yes",2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12,46,17581,94,"Davidson College","Davidson College, USA",35.499922,-80.845167
"Yes",571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56,"Defiance College","Defiance College, USA",41.2995515,-84.3575556
"No",967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,"Delta State University","Delta State University, USA",33.747414,-90.738146
"Yes",2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,"Denison University","Denison University, USA",40.069715,-82.5239749
"Yes",1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82,"DePauw University","DePauw University, USA",39.6403566,-86.8616858
"Yes",3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,"Dickinson College","Dickinson College, USA",40.20538,-77.19633
"No",434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46,"Dickinson State University","Dickinson State University, USA",46.882763,-102.800475
"Yes",1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61,"Dillard University","Dillard University, USA",29.9947154,-90.0660987
"Yes",793,709,244,20,47,1022,411,9570,3000,400,1000,67,72,15.1,42,6852,60,"Doane College","Doane College, USA",40.8878676,-98.37394
"Yes",360,329,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54,"Dominican College of Blauvelt","Dominican College of Blauvelt, USA",41.05371,-73.95542
"Yes",604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,"Dordt College","Dordt College, USA",43.0822534,-96.1690652
"Yes",1011,829,410,9,33,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42,"Dowling College","Dowling College, USA",40.742152,-73.148316
"Yes",2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15,24,9473,77,"Drake University","Drake University, USA",41.6009101,-93.6531039
"Yes",2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,"Drew University","Drew University, USA",40.762224,-74.426114
"Yes",700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67,"Drury College","Drury College, USA",29.2181655,-81.0039581
"Yes",13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,27206,97,"Duke University","Duke University, USA",35.9998234,-78.9332882
"Yes",1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,"Earlham College","Earlham College, USA",39.823431,-84.915037
"No",9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,"East Carolina University","East Carolina University, USA",35.60701,-77.36543
